chain_id,hash,nonce,transaction_index,from_address,to_address,value,gas,gas_price,input,block_hash,block_number,block_timestamp,receipt_cumulative_gas_used,receipt_gas_used,receipt_contract_address,receipt_root,receipt_status,max_fee_per_gas,max_priority_fee_per_gas,transaction_type,receipt_effective_gas_price
1,0x760ad8d7304d64207c08666a61640fb934ee0691de8308dcbd9eacc3b212733e,120,92,0x9d0c3a16b557fb2db7f9e9877a11e642e08060db,0xa6d0eea3afab2696a840731537874e058bc8049f,0,100249,11246216302,0x42842e0e0000000000000000000000009d0c3a16b557fb2db7f9e9877a11e642e08060db000000000000000000000000a5d3dfefad2ef0ff539567b991a25ba617c308910000000000000000000000000000000000000000000000000000000000000cc4,0x6621f6d009dbbc84c4229e6dd88c050a9b7571a1676cb2466e001c8d2dc31306,16064756,2022-11-28 00:00:11,9228412,90649,null,null,1,null,null,null,null
1,0x84567ef14d570d33ef1283435897bc28f04c13d47d42f663bbae7973ff83acac,2856084,66,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x311a7b4562e250067e3c0ad22aaab02c97437612,216440000000000000,21000,11746216302,0x,0x6621f6d009dbbc84c4229e6dd88c050a9b7571a1676cb2466e001c8d2dc31306,16064756,2022-11-28 00:00:11,7050350,21000,null,null,1,null,null,null,null
1,0x9559de4f8567c6910776eb40bd70f6d708c726579475517b1086c7d5b2be374b,1,111,0x9bf5f080a2aae5d610f7ee24356210c2ccac37db,0x8731d54e9d02c286767d56ac03e8037c07e01e98,0,141024,11246216302,0x87b21efc0000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000bebc2000000000000000000000000009bf5f080a2aae5d610f7ee24356210c2ccac37db,0x6621f6d009dbbc84c4229e6dd88c050a9b7571a1676cb2466e001c8d2dc31306,16064756,2022-11-28 00:00:11,11921244,132628,null,null,1,null,null,null,null
1,0xcfaa1584e264b644ad4b0e92b516d31161e03451e3ac273e74afa73bc35b8d23,2856083,65,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0xcf8a661348435d76a0fc7240c253a094d8deb6ea,996500000000000000,21000,11746216302,0x,0x6621f6d009dbbc84c4229e6dd88c050a9b7571a1676cb2466e001c8d2dc31306,16064756,2022-11-28 00:00:11,7029350,21000,null,null,1,null,null,null,null
1,0x94c9752320a8415369ff127ff4a71f77acde3c2f55992a38b62b216fd676def7,80,113,0x0a1f3a2c20a7e8e4470ffa52c01646e1ff4c759a,0xfeab5ab6a808d84044852cbe242be83603d362c1,0,525893,11246216302,0x0e5c011e0000000000000000000000001c78d8f1554aa157e8e5eb1bf0290686e2cc4aac,0x6621f6d009dbbc84c4229e6dd88c050a9b7571a1676cb2466e001c8d2dc31306,16064756,2022-11-28 00:00:11,12464259,420715,null,null,1,null,null,null,null
1,0xc0352466e9e4d3eeac1d1d63f00b0404d92f4ab9e35250d298da46ef2ac289d8,50052,12,0x99c60fe146534559fa9d1f6a081f4e6675f5f846,0x007933790a4f00000099e9001629d9fe7775b800,6207,521674,14382627000,0x700000000092519bbad72f2f337aef675ae954514f5aafa95c0481ae47e47aa0a88f90457af2a8348c20338a19fbcc569fe2,0x4bd32a23dda1cc143431ceda68586b33bcd59035587b56dbdda99b66a76cb89d,16064759,2022-11-28 00:00:47,2151468,260837,null,null,1,null,null,null,null
1,0xccea9a09c96b0d9351a3c2c8a359bbaacfb2d7c65921878625b2451d758fbec2,115,37,0x52e989521e5b3e5ef35f482c5640658feda8c17e,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,339986,13026224402,0x791ac9470000000000000000000000000000000000000000000000000000037fb311860000000000000000000000000000000000000000000000000000d95cb8270a65b800000000000000000000000000000000000000000000000000000000000000a000000000000000000000000052e989521e5b3e5ef35f482c5640658feda8c17e000000000000000000000000000000000000000000000000000000006383faa300000000000000000000000000000000000000000000000000000000000000020000000000000000000000008b4ff6aa1fde0af193c8471d7dba2988f674d8e6000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x4bd32a23dda1cc143431ceda68586b33bcd59035587b56dbdda99b66a76cb89d,16064759,2022-11-28 00:00:47,4220792,185188,null,null,1,null,null,null,null
1,0xd610bef24f0ad8e2247d420c0d13ac2edb7b2a7cec1b56ea30d6f8f8876d5eb5,937532,6,0xa7efae728d2936e78bda97dc267687568dd593f3,0xed096b71ff77798a4a22be59dadcc5138edf5ed0,2776600000000000000,210000,32000000000,0x,0x9e2fd24e1b2e6527724c04c94c47673084c9667b8eb69b4d0b5a0899fea0c20a,16064762,2022-11-28 00:01:23,778869,21000,null,null,1,null,null,null,null
1,0xf3fb90428546382b187a076c2a1e5d638a63d32d9f94de6011a6fbda4687ca25,2856085,71,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x977ce8db7dda42e60af5f0c96f155193a63b45a9,86960000000000000,21000,14924170815,0x,0x447ed196a4804da15c3425ee7dbb09495d5a4913ad79568e8a8ed91e08faea4c,16064774,2022-11-28 00:03:59,9348733,21000,null,null,1,null,null,null,null
1,0xae52a749d9560e68476dbf6f6f3bf54bfe02ac2f8d860b3bd3d7430e52ce43bd,21727,55,0x3a8713065e4daa9603b91ef35d6a8336ef7b26c6,0x1d62520d39a7cdca4380bc715e250b3d6cadff9a,0,6075831,14924170815,0x5ca5933a000000000000000000000000000000000000000000000000000000000000001e000000000000000000000000000000000000000000000000000000000000003200000000000000000000000036959d761ccd8bc5694dc3f15818f134fe781eb700000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000024a2522d2d000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000,0x447ed196a4804da15c3425ee7dbb09495d5a4913ad79568e8a8ed91e08faea4c,16064774,2022-11-28 00:03:59,8447180,3984452,null,null,1,null,null,null,null
